Contract,Version,Procurement Type,Description,Max Amt,Begin Dt,Expire Dt,Supplier,Dept,Agency Name,Contract Duration (Days),Vendor Frequency,Total Agency Spend,Risk Score,Risk Level
4406,1,RFP FAC86145,LIB TaylorsvilleLibraryEntryAd,44002,4/21/2025,8/14/2026,GSBS ARCHITECTS,2500000000,LIBRARY FUND,480,18," $302,993,516.62 ",3,Medium Risk
4408,1,RFP PAR110430,PAR Valley Regional Park MP,4950,4/22/2025,5/22/2025,G BROWN DESIGN INC,3630000000,PARKS,30,20," $180,440,543.41 ",2,Low Risk
4411,1,RFP FAC76702,SWM TransferStationConcretePad,51107.47,4/29/2025,10/28/2026,STALLINGS CONSTRUCTION INC,4750000000,SALT LAKE COUNTY LANDFILL,547,785," $1,056,084.48 ",3,Medium Risk
4414,1,EXI EXEMPT INTERLOCAL,MAY TRCC Theater Consultant,22500,5/1/2025,6/30/2027,HOLLADAY CITY,1070000000,TRCC-TOURISM REC CULTRL CONVEN,790,19," $972,500.00 ",2,Low Risk
4415,1,RFP PWO113516,PWO TaylorsvilleOverlayProject,82200,5/1/2025,6/30/2026,STALLINGS CONSTRUCTION INC,4400000000,PUBLIC WORKS OPERATIONS,425,785," $1,456,320.49 ",3,Medium Risk
4416,1,RFP FAC76702,FAC MagnaRecDaycareMoldRemoval,10082.84,5/2/2025,11/1/2026,STALLINGS CONSTRUCTION INC,6310000000,FACILITIES MANAGEMENT,548,785," $3,934,219.51 ",1,Low Risk
4417,1,EXO EXEMPT SMALL COST,LIB Appraisal Services,2300,5/2/2025,11/1/2025,VALBRIDGE PROPERTY ADVISORS,2500000000,LIBRARY FUND,183,1," $302,993,516.62 ",3,Medium Risk
4420,1,RFP FAC76702,PAR MagnaOutdoorPoolSandFilter,24228.05,5/5/2025,11/4/2026,STALLINGS CONSTRUCTION INC,3630000000,PARKS,548,785," $180,440,543.41 ",3,Medium Risk
4421,1,RFP FAC76702,PAR DraperOutdoorPoolSandFilte,39412.45,5/5/2025,11/4/2026,STALLINGS CONSTRUCTION INC,3630000000,PARKS,548,785," $180,440,543.41 ",3,Medium Risk
4422,1,RFP FAC76702,PAR ParkOperationsParkingLotSe,13054.67,5/5/2025,11/4/2026,STALLINGS CONSTRUCTION INC,3630000000,PARKS,548,785," $180,440,543.41 ",3,Medium Risk
4423,1,RFP FAC76702,PAR JRT MillcreekTrailRestroom,63517.07,5/5/2025,11/4/2026,STALLINGS CONSTRUCTION INC,3630000000,PARKS,548,785," $180,440,543.41 ",3,Medium Risk
4424,1,RFP FAC76702,PAR MagnaPool-RepairWestDeck,60850.59,5/5/2025,11/4/2026,STALLINGS CONSTRUCTION INC,3630000000,PARKS,548,785," $180,440,543.41 ",3,Medium Risk
4425,1,RFP FAC76702,PAR JRT MillcreekTrailElectric,13084.7,5/5/2025,11/4/2026,STALLINGS CONSTRUCTION INC,3630000000,PARKS,548,785," $180,440,543.41 ",3,Medium Risk
4426,1,RFP PAR97700,PAR DeckerLakeSodInstallation,10986.36,5/5/2025,7/11/2026,S&L LANDSCAPING AND EXCAVATION INC,3630000000,PARKS,432,20," $180,440,543.41 ",3,Medium Risk
4427,1,EXO EXEMPT UTILITY,FAC WastewaterDischargePermit,275,5/1/2025,4/30/2030,SOUTH VALLEY WATER RECLAMATION,6310000000,FACILITIES MANAGEMENT,1825,1," $3,934,219.51 ",3,Medium Risk
4428,1,EXI EXEMPT INTERLOCAL,ORD 15200 S Pony Express Rd,559500,5/7/2025,5/6/2028,BLUFFDALE CITY,1033000000,CORRIDOR PRESERVATION,1095,22," $15,342,352.00 ",6,High Risk
4429,1,EXI EXEMPT INTERLOCAL,ORD 985 W 14600 S CorridorPres,587955,5/7/2025,5/6/2028,BLUFFDALE CITY,1033000000,CORRIDOR PRESERVATION,1095,22," $15,342,352.00 ",6,High Risk
4430,1,EXI EXEMPT INTERLOCAL,CJS UCJIS Access with BCI,1,7/1/2025,6/30/2026,STATE OF UTAH,2400000000,CRIMINAL JUSTICE SERVICES,364,106," $23,541.00 ",2,Low Risk
4432,1,EXI EXEMPT INTERLOCAL,MAY TRCC BicentennialParkPickl,700000,5/7/2025,6/30/2027,SANDY CITY,1070000000,TRCC-TOURISM REC CULTRL CONVEN,784,24," $972,500.00 ",5,Medium Risk
4433,1,EXS EXEMPT SOLE SOURCE,ANS Canine&FelineFood@Shelter,0,5/1/2025,4/30/2028,HILLS PET NUTRITION,4100000000,ANIMAL SERVICES,1095,3," $280,584.76 ",3,Medium Risk
4435,1,RFP FAC76702,SWM LandfillPhase2WestPumpRepa,20800.21,5/16/2025,11/15/2026,STALLINGS CONSTRUCTION INC,4750000000,SALT LAKE COUNTY LANDFILL,548,785," $1,056,084.48 ",3,Medium Risk
4436,1,RFP FAC76702,AGS MidvaleSrCntrTempA/C2025,61702.88,5/19/2025,11/18/2026,STALLINGS CONSTRUCTION INC,5050000000,CAPITAL IMPROVEMENTS,548,785," $65,930,568.04 ",3,Medium Risk
4437,1,RFP FAC76702,PAR SouthCountyPoolInstallSlee,1962.36,5/19/2025,11/18/2026,STALLINGS CONSTRUCTION INC,3630000000,PARKS,548,785," $180,440,543.41 ",3,Medium Risk
4438,1,RFP FAC76702,FAC SaltPalaceCentralPlantPump,6619.95,5/20/2025,11/19/2026,STALLINGS CONSTRUCTION INC,6300000000,FACILITIES SERVICES,548,785," $8,792,208.80 ",3,Medium Risk
4439,1,RFP PAR110430,PAR Pleasant Green Irrigation,99200,5/20/2025,11/19/2025,ARCSITIO DESIGN INC,3630000000,PARKS,183,15," $180,440,543.41 ",0,Low Risk
4440,1,RFP FAC86145,SHE ADC Turnstiles,17800,5/22/2025,10/11/2025,ARCHITECTURAL NEXUS INC,5050000000,CAPITAL IMPROVEMENTS,142,65," $65,930,568.04 ",3,Medium Risk
4454,1,RFP FAC80864,PAR ButterfieldTHMaintenanceBu,10975,5/23/2025,7/22/2025,KLEINFELDER INC,3630000000,PARKS,60,30," $180,440,543.41 ",3,Medium Risk
4455,1,EXI EXEMPT INTERLOCAL,ORD 4311 W 12600 S Corridor Pr,50288,5/23/2025,5/22/2028,RIVERTON CITY CORP,1033000000,CORRIDOR PRESERVATION,1095,21," $15,342,352.00 ",2,Low Risk
4457,1,EXO EXEMPT TRAINING,IT IBM Accelerator Program,6500,5/27/2025,12/31/2026,CDW GOVERNMENT INC,6050000000,INFORMATION TECHNOLOGY,583,15," $3,590,060.29 ",2,Low Risk
4458,1,RFP FAC86145,LIB HVAC Upgrade So.Jordan Lib,64900,5/27/2025,4/13/2026,HHY ASSOCIATES,2500000000,LIBRARY FUND,321,43," $302,993,516.62 ",0,Low Risk
4459,1,RFP FAC76702,FAC KearnsSrCntrEntranceDoors,25774.45,5/27/2025,11/26/2026,STALLINGS CONSTRUCTION INC,5050000000,CAPITAL IMPROVEMENTS,548,785," $65,930,568.04 ",3,Medium Risk
4461,1,RFP FAC76702,PAR TaylorsvilleRecTempCooling,7731.81,5/29/2025,11/28/2026,STALLINGS CONSTRUCTION INC,3630000000,PARKS,548,785," $180,440,543.41 ",3,Medium Risk
4462,1,RFP FAC76702,PWO PublicWorksConcreteCollars,5060.29,5/29/2025,11/28/2026,STALLINGS CONSTRUCTION INC,4400000000,PUBLIC WORKS OPERATIONS,548,785," $1,456,320.49 ",3,Medium Risk
4464,1,EXI EXEMPT INTERLOCAL,ANS UCJIS Access with BCI,1,7/1/2025,6/30/2026,STATE OF UTAH,4100000000,ANIMAL SERVICES,364,106," $280,584.76 ",2,Low Risk
4465,1,RFP FAC86145,ANS/FAC Dog Kennels,48200,6/2/2025,1/4/2026,HHY ASSOCIATES,4100000000,ANIMAL SERVICES,216,43," $280,584.76 ",3,Medium Risk
4467,1,EXI EXEMPT INTERLOCAL,MAY TRCC RonWoodSkate&BikePark,250000,6/4/2025,6/30/2027,WEST JORDAN CITY,1070000000,TRCC-TOURISM REC CULTRL CONVEN,756,25," $972,500.00 ",3,Medium Risk
4470,1,RFP FAC86145,PAR So.JordanRec-RemainingRTU,19905,6/6/2025,6/16/2026,ARCHITECTURAL NEXUS INC,3630000000,PARKS,375,65," $180,440,543.41 ",3,Medium Risk
4471,1,RFP FAC86145,PAR CopperviewRecPhse2RoofRepl,48550.04,6/6/2025,5/2/2026,GSBS ARCHITECTS,3630000000,PARKS,330,18," $180,440,543.41 ",1,Low Risk
4472,1,RFP FAC80864,PAR MurrayIceCenterExpansion,23409,6/6/2025,7/16/2025,KLEINFELDER INC,3630000000,PARKS,40,30," $180,440,543.41 ",3,Medium Risk
4473,1,COOP BASED ON MA011,ART ConstructionMangmtArtCentr,1580250,6/9/2025,10/7/2026,CONSTRUCTION CONTROL CORP,3500000000,SLCO ARTS AND CULTURE,485,2," $12,034,449.72 ",3,Medium Risk
4474,1,RFP FAC76702,FAC WJLibHeatExchangerInstall,7814.54,6/9/2025,12/8/2026,STALLINGS CONSTRUCTION INC,6300000000,FACILITIES SERVICES,547,785," $8,792,208.80 ",3,Medium Risk
4475,1,RFP FAC76702,SLP SaltPalaceCondensateLinesR,19133.6,6/9/2025,12/8/2026,STALLINGS CONSTRUCTION INC,3550000000,RAMPTON SALT PALACE OPERATIONS,547,785," $5,149,214.96 ",3,Medium Risk
4477,1,RFP FAC76702,FAC RoseWagnerSolidSurfaceTops,38222.28,6/10/2025,10/10/2026,STALLINGS CONSTRUCTION INC,6310000000,FACILITIES MANAGEMENT,487,785," $3,934,219.51 ",1,Low Risk
4478,1,RFP FAC76702,SWM LandfillLeachatePipeInspec,1413.65,6/12/2025,12/11/2026,STALLINGS CONSTRUCTION INC,4750000000,SALT LAKE COUNTY LANDFILL,547,785," $1,056,084.48 ",3,Medium Risk
4483,1,RFP FAC76702,PAR SoJordanRecPoolConcreteSea,21469.22,6/16/2025,12/15/2026,STALLINGS CONSTRUCTION INC,3630000000,PARKS,547,785," $180,440,543.41 ",3,Medium Risk
4484,1,RFP FAC76702,PAR ParleysTrailSugarHousePark,47529.85,6/16/2025,12/15/2026,STALLINGS CONSTRUCTION INC,3630000000,PARKS,547,785," $180,440,543.41 ",3,Medium Risk
4485,1,RFP FAC76702,PAR BCRP HolladayAreaParkingLo,99052.98,6/16/2025,12/15/2026,STALLINGS CONSTRUCTION INC,3630000000,PARKS,547,785," $180,440,543.41 ",3,Medium Risk
4486,1,RFP FAC76702,PAR WheelerFarmSouthEndFencing,79249.39,6/16/2025,12/15/2026,STALLINGS CONSTRUCTION INC,3630000000,PARKS,547,785," $180,440,543.41 ",3,Medium Risk
4488,1,RFP FAC76702,ART EcclesTheaterSignagePhase4,11721.02,6/17/2025,12/16/2026,STALLINGS CONSTRUCTION INC,3500000000,SLCO ARTS AND CULTURE,547,785," $12,034,449.72 ",3,Medium Risk
4489,1,RFP FAC76702,ART EcclesTheaterStageFloorIns,25404.86,6/17/2025,12/16/2026,STALLINGS CONSTRUCTION INC,3500000000,SLCO ARTS AND CULTURE,547,785," $12,034,449.72 ",3,Medium Risk
4490,1,RFP FAC76702,ART EcclesTheaterStepRepair,7573.89,6/17/2025,12/16/2026,STALLINGS CONSTRUCTION INC,3500000000,SLCO ARTS AND CULTURE,547,785," $12,034,449.72 ",3,Medium Risk
4491,1,RFP FAC86145,PAR WestJordanOutdoorPoolRenov,61600,6/18/2025,9/16/2026,ARCHITECTURAL NEXUS INC,3630000000,PARKS,455,65," $180,440,543.41 ",3,Medium Risk
4492,1,RFP FAC86145,LIB DraperLibraryHVACReplaceme,56315.98,6/18/2025,5/24/2026,GSBS ARCHITECTS,2500000000,LIBRARY FUND,340,18," $302,993,516.62 ",3,Medium Risk
4493,1,RFP FAC76702,FLM LandfillFleetShopRenovatio,28934.32,6/18/2025,12/17/2026,STALLINGS CONSTRUCTION INC,6800000000,FLEET MANAGEMENT,547,785," $3,683,225.51 ",3,Medium Risk
4497,1,RFP FAC76702,LIB WJLibConcreteReplacement,7311.18,6/24/2025,12/23/2026,STALLINGS CONSTRUCTION INC,2500000000,LIBRARY FUND,547,785," $302,993,516.62 ",3,Medium Risk
4502,1,RFP FAC76702,LIB BinghamCreekLibLandscapImp,59971.95,6/26/2025,12/23/2026,STALLINGS CONSTRUCTION INC,2500000000,LIBRARY FUND,545,785," $302,993,516.62 ",3,Medium Risk
4503,1,RFP FAC76702,LIB SJLibInstIrrigationSleeves,4771.97,6/26/2025,12/23/2026,STALLINGS CONSTRUCTION INC,2500000000,LIBRARY FUND,545,785," $302,993,516.62 ",3,Medium Risk
4504,1,RFP FAC86145-1,PAR FairmontRooftopReplacement,30900,6/26/2025,12/14/2025,HHY ASSOCIATES,3630000000,PARKS,171,43," $180,440,543.41 ",3,Medium Risk
4505,1,RFP FAC86145-1,PAR FairmontRTUReplacement,60800,6/26/2025,12/14/2025,HHY ASSOCIATES,3630000000,PARKS,171,43," $180,440,543.41 ",3,Medium Risk
4506,1,EXO EXEMPT NO COST,ART 2025 Mariachi Festival,1,6/27/2025,9/22/2025,UTAH PRESENTS,3500000000,SLCO ARTS AND CULTURE,87,11," $12,034,449.72 ",2,Low Risk
4508,1,RFP FAC76702,PAR ButterfieldCnynTrailhead,32747.39,6/30/2025,12/27/2026,STALLINGS CONSTRUCTION INC,3630000000,PARKS,545,785," $180,440,543.41 ",3,Medium Risk
4509,1,RFP FAC76702,PAR ButterfieldCnynTrailKiosk,31820.36,6/30/2025,12/27/2026,STALLINGS CONSTRUCTION INC,3630000000,PARKS,545,785," $180,440,543.41 ",3,Medium Risk
4510,1,RFP FAC76702,PAR MagnaPoolDeckRepairsSouth,20950.3,6/30/2025,12/27/2026,STALLINGS CONSTRUCTION INC,3630000000,PARKS,545,785," $180,440,543.41 ",3,Medium Risk
4511,1,RFP FAC76702,PAR MagnaPoolDeckRepairEast,58144.75,6/30/2025,12/27/2026,STALLINGS CONSTRUCTION INC,3630000000,PARKS,545,785," $180,440,543.41 ",3,Medium Risk
4512,1,RFP FAC76702,PAR OldMillGolfReplaceRailing,35905.32,6/30/2025,12/27/2026,STALLINGS CONSTRUCTION INC,3630000000,PARKS,545,785," $180,440,543.41 ",3,Medium Risk
4513,1,RFP FAC76702,PAR MeadowbrookGolfFloorRepain,36359.05,6/30/2025,12/27/2026,STALLINGS CONSTRUCTION INC,3630000000,PARKS,545,785," $180,440,543.41 ",3,Medium Risk
4514,1,RFP FAC76702,PAR Holladay Lions ADA Parking,64762.81,6/30/2025,12/27/2026,STALLINGS CONSTRUCTION INC,3630000000,PARKS,545,785," $180,440,543.41 ",2,Low Risk
4515,1,RFP FAC76702,PAR TaylorsvilleCenterChiller,8161.96,6/30/2025,12/27/2026,STALLINGS CONSTRUCTION INC,3630000000,PARKS,545,785," $180,440,543.41 ",3,Medium Risk
4516,1,RFP FAC76702,LIB SoJoLibParkingImprovements,76558.35,7/1/2025,12/28/2026,STALLINGS CONSTRUCTION INC,2500000000,LIBRARY FUND,545,785," $302,993,516.62 ",3,Medium Risk
4519,1,RFP PAR97700,PAR MVGC Replace Head Gates,54913.94,7/3/2025,10/1/2026,RAYD,3630000000,PARKS,455,29," $180,440,543.41 ",2,Low Risk
4526,1,RFP PAR110431,PAR DeckerLake-RestroomFeasibi,13300,7/10/2025,9/9/2025,JUB ENGINEERS INC,3630000000,PARKS,61,15," $180,440,543.41 ",1,Low Risk
4527,1,RFP PAR110430,PAR ButterfieldCanyonMasterPla,1450,7/10/2025,8/24/2025,G BROWN DESIGN INC,3630000000,PARKS,45,20," $180,440,543.41 ",3,Medium Risk
4529,1,EXI EXEMPT INTERLOCAL,"ORD 1720,1760,1770CorridorPres",216335,7/11/2025,7/10/2028,COTTONWOOD HEIGHTS,1033000000,CORRIDOR PRESERVATION,1095,29," $15,342,352.00 ",3,Medium Risk
4534,1,COOP BASED ON MA3631,FAC/SLP Ballroom Carpet,409582.26,7/14/2025,11/11/2025,CERTIFIED SALES & SERVICE INC,3550000000,RAMPTON SALT PALACE OPERATIONS,120,4," $5,149,214.96 ",1,Low Risk
4536,1,RFP PWO113516,PWO KearnsConcreteCollarProjec,55500,7/15/2025,10/1/2026,STALLINGS CONSTRUCTION INC,4400000000,PUBLIC WORKS OPERATIONS,443,785," $1,456,320.49 ",3,Medium Risk
4538,1,EXI EXEMPT INTERLOCAL,ORD PublicFinanceResearchServi,63899,7/11/2025,6/30/2026,UNIVERSITY OF UTAH,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",354,92," $379,292,208.65 ",5,Medium Risk
71549,1,RFP FAC86145,FAC ADC Pod C Partial Reroof,2660,6/13/2023,6/13/2023,ARCHITECTURAL NEXUS INC,5050000000,CAPITAL IMPROVEMENTS,0,65," $65,930,568.04 ",2,Low Risk
030421-SCS,1,SOURCEWELL CONTRACT,Stanley Cont off Sourcewell,0,9/8/2021,4/22/2025,SOURCEWELL,6100000000,CONTRACTS AND PROCUREMENT,1322,1, $-   ,0,Low Risk
081419-CDW,1,COOP SOURCEWELL CONTRACT,CW Technology Catalog Solution,0,12/28/2023,10/30/2024,CDW GOVERNMENT INC,6100000000,CONTRACTS AND PROCUREMENT,307,15, $-   ,2,Low Risk
1383-9605.1,1,EXO EXEMPT-FACILITY USE,DRD SLCoEmployeeSymposium,1,5/7/2019,6/11/2019,SMG,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",35,28," $379,292,208.65 ",3,Medium Risk
18667-2,1,EXO EXEMPT,FCE Watershed Symposium 2023,1,9/15/2023,11/16/2023,UTAH CULTURAL CELEBRATION CENTER,4600000400,FC-WATER QUALITY,62,12, $5.00 ,4,Medium Risk
19-0071-2,1,EXI EXEMPT INTERLOCAL,MAY - Eco Passes (UTA),0,1/1/2019,12/31/2019,UTAH TRANSIT AUTHORITY,1020000000,MAYOR ADMINISTRATION,364,20," $26,565,719.00 ",2,Low Risk
199916,1,EXI EXEMPT INTERLOCAL,ORD Bicycle CountersF-R299(278,99900,6/10/2019,12/31/2022,STATE OF UTAH,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",1300,106," $379,292,208.65 ",5,Medium Risk
199916,2,EXI EXEMPT INTERLOCAL,PAR Bicycle CountersF-R299(278,99900,6/10/2019,12/31/2023,STATE OF UTAH,3630000000,PARKS,1665,106," $180,440,543.41 ",5,Medium Risk
2018011-02,1,COOP BASED ON OMNIA 122922MS1,IT NationalPricingDiscount,0,3/21/2024,2/28/2025,SHI INTERNATIONAL CORPORATION,6050000000,INFORMATION TECHNOLOGY,344,11," $3,590,060.29 ",1,Low Risk
2019HLTHHW,1,RFP FAC80864,HEA SandyHHWTransferStation,4950,3/20/2023,6/20/2023,KLEINFELDER INC,2150000000,HEALTH,92,30," $84,917,217.50 ",1,Low Risk
21-0071-2,1,EXI EXEMPT INTERLOCAL,MAY - Eco Passes (UTA),0,12/15/2020,12/31/2021,UTAH TRANSIT AUTHORITY,1022000000,MAYOR'S FINANCIAL ADMIN,381,20," $50,000.00 ",4,Medium Risk
21-0071-2,2,EXI EXEMPT INTERLOCAL,MAY - Eco Passes (UTA),0,12/15/2020,12/31/2022,UTAH TRANSIT AUTHORITY,1022000000,MAYOR'S FINANCIAL ADMIN,746,20," $50,000.00 ",4,Medium Risk
21-DWS-R012,1,EXI EXEMPT INTERLOCAL,ORD-COVID EmergencyRentalAssis,25665645.12,12/27/2020,12/31/2021,STATE OF UTAH,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",369,106," $379,292,208.65 ",7,High Risk
21-DWS-R012,2,EXI EXEMPT INTERLOCAL,ORD-COVID EmergencyRentalAssis,35466614.3,12/27/2020,12/31/2022,STATE OF UTAH,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",734,106," $379,292,208.65 ",7,High Risk
21-DWS-R012,3,EXI EXEMPT INTERLOCAL,ORD-COVID EmergencyRentalAssis,42860604.51,12/27/2020,5/31/2023,STATE OF UTAH,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",885,106," $379,292,208.65 ",7,High Risk
21254,1,EXO EXEMPT OTHER,"CLP Show Lic. ""Birth of Planet",12320,9/21/2021,9/20/2022,EVANS & SUTHERLAND,3510000000,CLARK PLANETARIUM,364,13," $3,152,556.19 ",4,Medium Risk
2150001013,1,CON HEA76806,HEA Central City Rec Restorati,317800,4/19/2021,9/30/2022,STALLINGS CONSTRUCTION INC,2150000000,HEALTH,529,785," $84,917,217.50 ",2,Low Risk
2150001013,2,CON HEA76806,HEA Central City Rec Restorati,321574.88,4/19/2021,9/30/2022,STALLINGS CONSTRUCTION INC,2150000000,HEALTH,529,785," $84,917,217.50 ",2,Low Risk
22-DWS-R016,1,EXI EXEMPT INTERLOCAL,ORD COVID ARPA ERA II,21189700.35,1/1/2022,12/31/2022,STATE OF UTAH,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",364,106," $379,292,208.65 ",6,High Risk
22-DWS-R016,2,EXI EXEMPT INTERLOCAL,ORD COVID ARPA ERA II,15071676.01,1/1/2022,12/31/2022,STATE OF UTAH,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",364,106," $379,292,208.65 ",6,High Risk
22-DWS-R016,3,EXI EXEMPT INTERLOCAL,ORD COVID ARPA ERA II,15071676.01,1/1/2022,5/31/2023,STATE OF UTAH,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",515,106," $379,292,208.65 ",6,High Risk
22-MOU-0013,1,EXI EXEMPT INTERLOCAL,LIB Vending Services,0,7/15/2021,7/14/2031,STATE OF UTAH,2500000000,LIBRARY FUND,3651,106," $302,993,516.62 ",3,Medium Risk
22-MOU-0137,1,EXI EXEMPT INTERLOCAL,AGS Vending Services,0,5/1/2022,4/30/2027,STATE OF UTAH,2300000000,AGING AND ADULT SERVICES,1825,106," $4,409,811.00 ",3,Medium Risk
22019002,1,RFA REQUEST FOR APPLICATIONS,ZAP Tier II Funding 2019,26000,10/16/2019,10/15/2020,ARTISTIC RESOURCES FOR TEACHERS,3592000000,SMALL ARTS GROUPS-SALES TAX,365,6," $13,164,700.00 ",0,Low Risk
22019004,1,RFA REQUEST FOR APPLICATIONS,ZAP Tier II Funding 2019,8000,10/16/2019,10/15/2020,ALLIANCE HOUSE INC,3592000000,SMALL ARTS GROUPS-SALES TAX,365,6," $13,164,700.00 ",0,Low Risk
22019005,1,RFA REQUEST FOR APPLICATIONS,ZAP Tier II Funding 2019,23500,10/16/2019,10/15/2020,ALTA ARTS COUNCIL,3592000000,SMALL ARTS GROUPS-SALES TAX,365,6," $13,164,700.00 ",0,Low Risk
22019006,1,RFA REQUEST FOR APPLICATIONS,ZAP Tier II Funding 2019,8250,10/15/2019,10/14/2020,AMERICAN WEST SYMPHONY & CHORUS OF SANDY,3592000000,SMALL ARTS GROUPS-SALES TAX,365,7," $13,164,700.00 ",0,Low Risk
22019007,1,RFA REQUEST FOR APPLICATIONS,ZAP Tier II Funding 2019,4500,10/16/2019,10/15/2020,WESTMINSTER COLLEGE ANNE NEWMAN SUTT,3592000000,SMALL ARTS GROUPS-SALES TAX,365,2," $13,164,700.00 ",0,Low Risk
22019008,1,RFA REQUEST FOR APPLICATIONS,ZAP Tier II Funding 2019,13000,10/29/2019,10/28/2020,ARTES DE MEXICO EN UTAH,3592000000,SMALL ARTS GROUPS-SALES TAX,365,6," $13,164,700.00 ",0,Low Risk
22019009,1,RFA REQUEST FOR APPLICATIONS,ZAP Tier II Funding 2019,11000,10/16/2019,10/15/2020,ARTISTS OF UTAH,3592000000,SMALL ARTS GROUPS-SALES TAX,365,6," $13,164,700.00 ",0,Low Risk
22019010,1,RFA REQUEST FOR APPLICATIONS,ZAP Tier II Funding 2019,9300,10/16/2019,10/15/2020,ASIAN ASSOCIATION OF UTAH,3592000000,SMALL ARTS GROUPS-SALES TAX,365,3," $13,164,700.00 ",0,Low Risk
22019010,2,RFA REQUEST FOR APPLICATIONS,ZAP Tier II Funding 2019,9300,10/16/2019,10/15/2020,ASIAN ASSOCATION OF UTAH,3592000000,SMALL ARTS GROUPS-SALES TAX,365,40," $13,164,700.00 ",0,Low Risk
22019011,1,RFA REQUEST FOR APPLICATIONS,ZAP Tier II Funding 2019,1000,10/16/2019,10/14/2020,BABCOCK PERFORMING READERS,3592000000,SMALL ARTS GROUPS-SALES TAX,364,1," $13,164,700.00 ",0,Low Risk
22019012,1,RFA REQUEST FOR APPLICATIONS,ZAP Tier II Funding 2019,49000,10/29/2019,10/28/2020,BAD DOG ARTS,3592000000,SMALL ARTS GROUPS-SALES TAX,365,6," $13,164,700.00 ",0,Low Risk
22019013,1,RFA REQUEST FOR APPLICATIONS,ZAP Tier II Funding 2019,1900,10/29/2019,10/28/2020,PARK CITY CHAMBER MUSIC SOCIETY,3592000000,SMALL ARTS GROUPS-SALES TAX,365,7," $13,164,700.00 ",0,Low Risk
22019016,1,RFA REQUEST FOR APPLICATIONS,ZAP Tier II Funding 2019,7800,10/29/2019,10/28/2020,BROLLY ARTS,3592000000,SMALL ARTS GROUPS-SALES TAX,365,6," $13,164,700.00 ",0,Low Risk
22019019,1,RFA REQUEST FOR APPLICATIONS,ZAP Tier II Funding 2019,9500,10/16/2019,10/15/2020,CHAMBER MUSIC SOCIETY OF SALT LAKE CITY,3592000000,SMALL ARTS GROUPS-SALES TAX,365,6," $13,164,700.00 ",0,Low Risk
22019020,1,RFA REQUEST FOR APPLICATIONS,ZAP Tier II Funding 2019,4000,10/29/2019,10/28/2020,CHILDRENS MEDIA WORKSHOP,3592000000,SMALL ARTS GROUPS-SALES TAX,365,8," $13,164,700.00 ",0,Low Risk
22019021,1,RFA REQUEST FOR APPLICATIONS,ZAP Tier II Funding 2019,6000,10/16/2019,10/15/2020,CHINESE ASSOC FOR SCIENCE & TECH,3592000000,SMALL ARTS GROUPS-SALES TAX,365,9," $13,164,700.00 ",0,Low Risk
22019024,1,RFA REQUEST FOR APPLICATIONS,ZAP Tier II Funding 2019,28000,10/29/2019,10/28/2020,CHORAL ARTS SOCIETY,3592000000,SMALL ARTS GROUPS-SALES TAX,365,7," $13,164,700.00 ",0,Low Risk
22019025,1,RFA REQUEST FOR APPLICATIONS,ZAP Tier II Funding 2019,22000,10/15/2019,10/14/2020,SOUTH JORDAN CTY PUBLIC ART & CUL DEV BD,3592000000,SMALL ARTS GROUPS-SALES TAX,365,7," $13,164,700.00 ",0,Low Risk
22019028,1,RFA REQUEST FOR APPLICATIONS,ZAP Tier II Funding 2019,22000,10/29/2019,10/28/2020,JORDAN VALLEY CONSERVATION GARDENS,3592000000,SMALL ARTS GROUPS-SALES TAX,365,8," $13,164,700.00 ",0,Low Risk
22019029,1,RFA REQUEST FOR APPLICATIONS,ZAP Tier II Funding 2019,14000,10/21/2019,10/20/2020,COTTONWOOD HEIGHTS ARTS COUNCIL,3592000000,SMALL ARTS GROUPS-SALES TAX,365,6," $13,164,700.00 ",0,Low Risk
22019030,1,RFA REQUEST FOR APPLICATIONS,ZAP Tier II Funding 2019,13000,10/16/2019,10/15/2020,CRAFT LAKE CITY,3592000000,SMALL ARTS GROUPS-SALES TAX,365,8," $13,164,700.00 ",0,Low Risk
22019035,1,RFA REQUEST FOR APPLICATIONS,ZAP Tier II Funding 2019,10500,10/29/2019,10/28/2020,DRAPER CITY,3592000000,SMALL ARTS GROUPS-SALES TAX,365,19," $13,164,700.00 ",0,Low Risk
22019039,1,RFA REQUEST FOR APPLICATIONS,ZAP Tier II Funding 2019,9000,10/16/2019,10/15/2020,EASTERN ARTS,3592000000,SMALL ARTS GROUPS-SALES TAX,365,6," $13,164,700.00 ",0,Low Risk
22019042,1,RFA REQUEST FOR APPLICATIONS,ZAP Tier II Funding 2019,15000,10/16/2019,10/15/2020,EXCELLENCE CONCERT SERIES,3592000000,SMALL ARTS GROUPS-SALES TAX,365,9," $13,164,700.00 ",0,Low Risk
